,Match_ID,team1,team2,season,date,venue,city,toss_winner,toss_decision,winner,Margin,Margin_Type,player_of_match
0,1082591,Sunrisers Hyderabad,Royal Challengers Bangalore,2017,2017-04-05,Rajiv Gandhi International Stadium,Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,runs,Yuvraj Singh
1,1082592,Rising Pune Supergiants,Mumbai Indians,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,Rising Pune Supergiants,7,wickets,SPD Smith
2,1082593,Gujarat Lions,Kolkata Knight Riders,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders,10,wickets,CA Lynn
3,1082594,Punjab Kings,Rising Pune Supergiants,2017,2017-04-08,Holkar Cricket Stadium,Indore,Punjab Kings,field,Punjab Kings,6,wickets,GJ Maxwell
4,1082595,Royal Challengers Bangalore,Delhi Daredevils,2017,2017-04-08,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,runs,KM Jadhav
5,1082596,Sunrisers Hyderabad,Gujarat Lions,2017,2017-04-09,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,9,wickets,Rashid Khan
6,1082597,Mumbai Indians,Kolkata Knight Riders,2017,2017-04-09,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,4,wickets,N Rana
7,1082598,Punjab Kings,Royal Challengers Bangalore,2017,2017-04-10,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,bat,Punjab Kings,8,wickets,AR Patel
8,1082599,Rising Pune Supergiants,Delhi Daredevils,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,Delhi Daredevils,97,runs,SV Samson
9,1082600,Mumbai Indians,Sunrisers Hyderabad,2017,2017-04-12,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,4,wickets,JJ Bumrah
10,1082601,Kolkata Knight Riders,Punjab Kings,2017,2017-04-13,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,8,wickets,SP Narine
11,1082602,Royal Challengers Bangalore,Mumbai Indians,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians,4,wickets,KA Pollard
12,1082603,Gujarat Lions,Rising Pune Supergiants,2017,2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions,7,wickets,AJ Tye
13,1082604,Kolkata Knight Riders,Sunrisers Hyderabad,2017,2017-04-15,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,runs,RV Uthappa
14,1082605,Delhi Daredevils,Punjab Kings,2017,2017-04-15,Arun Jaitley Stadium,Delhi,Delhi Daredevils,bat,Delhi Daredevils,51,runs,CJ Anderson
15,1082606,Mumbai Indians,Gujarat Lions,2017,2017-04-16,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,6,wickets,N Rana
